"ControlID","SubscriptionName","ResourceName","Status","Detail","CheckedAt"
"2.01.03","SECURITY-GOV-INTERNAL","SqlServers","PASS","Defender tier: Standard","2026-06-04T12:09:09.4357892-05:00"
"2.01.03","SECURITY-GOV-INTERNAL","OpenSourceRelationalDatabases","PASS","Defender tier: Standard","2026-06-04T12:09:09.8475198-05:00"
"2.01.14","SECURITY-GOV-INTERNAL","DataProtectionSecurityCenter","PASS","Disabled params: ","2026-06-04T12:09:10.6199023-05:00"
"2.01.14","SECURITY-GOV-INTERNAL","OpenSourceRelationalDatabasesProtectionSecurityCenter","PASS","Disabled params: ","2026-06-04T12:09:10.6207991-05:00"
"2.01.14","SECURITY-GOV-INTERNAL","SecurityCenterBuiltIn","PASS","Disabled params: ","2026-06-04T12:09:10.6213763-05:00"
"2.01.15","SECURITY-GOV-INTERNAL","SECURITY-GOV-INTERNAL","FAIL","MMA auto-provision: ","2026-06-04T12:09:11.3369015-05:00"
"2.01.19","SECURITY-GOV-INTERNAL","SECURITY-GOV-INTERNAL","FAIL","Security contacts: ","2026-06-04T12:09:12.4660944-05:00"
"3.01","SECURITY-GOV-INTERNAL","csua682391df87ex4d37x83f","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3175163-05:00"
"3.01","SECURITY-GOV-INTERNAL","dartteam","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3179222-05:00"
"3.01","SECURITY-GOV-INTERNAL","nsswatchlists","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3182306-05:00"
"3.01","SECURITY-GOV-INTERNAL","secinteastreports","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3184938-05:00"
"3.01","SECURITY-GOV-INTERNAL","securityinteaststorg","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3187434-05:00"
"3.01","SECURITY-GOV-INTERNAL","securityinteastvmrg413","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3189944-05:00"
"3.01","SECURITY-GOV-INTERNAL","securityinteastvmrg995","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3192405-05:00"
"3.01","SECURITY-GOV-INTERNAL","securityintsouthvmrgdiag","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3195055-05:00"
"3.01","SECURITY-GOV-INTERNAL","tempstorage","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3197568-05:00"
"3.01","SECURITY-GOV-INTERNAL","vaazgsecurityeaststor001","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3200077-05:00"
"3.01","SECURITY-GOV-INTERNAL","vac20asalogecslsh201","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3202545-05:00"
"3.01","SECURITY-GOV-INTERNAL","vac20asaxdrcwdstk200","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3205949-05:00"
"3.01","SECURITY-GOV-INTERNAL","vac20hsmeei200","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3208920-05:00"
"3.01","SECURITY-GOV-INTERNAL","vaeclalogicappdatetime","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3211464-05:00"
"3.01","SECURITY-GOV-INTERNAL","vaeclasecurityintnsa538","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3213940-05:00"
"3.01","SECURITY-GOV-INTERNAL","iceesecurityinteastvmrgd","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3216419-05:00"
"3.01","SECURITY-GOV-INTERNAL","vac21asaecssouthdiag","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3234095-05:00"
"3.01","SECURITY-GOV-INTERNAL","vac21asaecssouthimages","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3238074-05:00"
"3.01","SECURITY-GOV-INTERNAL","secintswimagevhds","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3241850-05:00"
"3.01","SECURITY-GOV-INTERNAL","vac23asaecsswdiag","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3245818-05:00"
"3.01","SECURITY-GOV-INTERNAL","vac23secdiag","PASS","EnableHttpsTrafficOnly=True","2026-06-04T12:09:13.3248985-05:00"
"3.02","SECURITY-GOV-INTERNAL","csua682391df87ex4d37x83f","FAIL","InfraEncryption=","2026-06-04T12:09:14.2865150-05:00"
"3.02","SECURITY-GOV-INTERNAL","dartteam","FAIL","InfraEncryption=False","2026-06-04T12:09:14.2868264-05:00"
"3.02","SECURITY-GOV-INTERNAL","nsswatchlists","FAIL","InfraEncryption=False","2026-06-04T12:09:14.2870915-05:00"
"3.02","SECURITY-GOV-INTERNAL","secinteastreports","FAIL","InfraEncryption=","2026-06-04T12:09:14.2905615-05:00"
"3.02","SECURITY-GOV-INTERNAL","securityinteaststorg","FAIL","InfraEncryption=","2026-06-04T12:09:14.2911646-05:00"
"3.02","SECURITY-GOV-INTERNAL","securityinteastvmrg413","FAIL","InfraEncryption=","2026-06-04T12:09:14.2915750-05:00"
"3.02","SECURITY-GOV-INTERNAL","securityinteastvmrg995","FAIL","InfraEncryption=","2026-06-04T12:09:14.2921940-05:00"
