"VMName","ResourceGroup","Location","VMSize","OSType","PowerState","GovernanceStatus","CKID_Status","CKID","EMASS","VASI","EstMonthly_USD"
"VAC20MULCNG801","CNG-DEVTEST-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D2s_v4","Windows","Unknown","Billing Only","Mapped","1501","","","155.49"
"VAC20MULCNG802","CNG-DEVTEST-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D2s_v4","Windows","Unknown","Billing Only","Mapped","1501","","","155.49"
"VAC20TMSCNG801","CNG-DEVTEST-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D16ds_v4","Windows","Unknown","Billing Only","Mapped","1501","","","1,372.40"
"VAC20TMSCNG802","CNG-DEVTEST-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D16ds_v4","Windows","Unknown","Billing Only","Mapped","1501","","","1,372.40"
"VAC20TMSCNG803","CNG-DEVTEST-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D16ds_v4","Windows","Unknown","Billing Only","Mapped","1501","","","1,372.40"
"be934e6c7c0a442682d02c736c5f7e42","CNG-DEVTEST-INT-EAST-CORE-MRG-BRK801P18296-RG","usgovvirginia","Standard_DS3_v2","Linux","Unknown","Billing Only","Mapped","1501","","","208.05"
"d4abbcebe5d14808890fca4f460adb1b","CNG-DEVTEST-INT-EAST-CORE-MRG-BRK801P18296-RG","usgovvirginia","Standard_DS3_v2","Linux","Unknown","Billing Only","Mapped","1501","","","208.05"
"VAC20MULCNG401","CNG-PREPROD-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D16_v4","Windows","Unknown","Billing Only","Mapped","1501","","","1,243.92"
"VAC20TMSCNG401","CNG-PREPROD-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D16s_v4","Windows","Unknown","Billing Only","Mapped","1501","","","1,243.92"
"VAC20TMSCNG402","CNG-PREPROD-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D16s_v4","Windows","Unknown","Billing Only","Mapped","1501","","","1,243.92"
"VAC20TMSCNG403","CNG-PREPROD-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D16s_v4","Windows","Unknown","Billing Only","Mapped","1501","","","1,243.92"
"VAC20TMSCNG404","CNG-PREPROD-INT-EAST-CDWNG-VM-RG","usgovvirginia","Standard_D16s_v4","Windows","Unknown","Billing Only","Mapped","1501","","","1,243.92"
"28a29c732ac64ca0b3685dfeb8566544","CNG-PREPROD-INT-EAST-OIVC-MRG-BRK401C22036-RG","usgovvirginia","Standard_E8d_v4","Linux","Unknown","Billing Only","Mapped","1501","","","505.16"
"5c359aa5fdb54379998b15774cadf158","CNG-PREPROD-INT-EAST-OIVC-MRG-BRK401C22036-RG","usgovvirginia","Standard_E8d_v4","Linux","Unknown","Billing Only","Mapped","1501","","","505.16"
"716b1732c879487fa03adca91cb97981","CNG-PREPROD-INT-EAST-OIVC-MRG-BRK401C22036-RG","usgovvirginia","Standard_E8d_v4","Linux","Unknown","Billing Only","Mapped","1501","","","505.16"
