SubscriptionName,SubscriptionId,ResourceGroup,VMName,Location,VMSize,OSType,PowerState,GovernanceStatus,CKID_Status,CKID,EMASS,VASI,EstMonthly_USD,CAM_CMDB_Verified,Notes
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,EOC-DEVTEST-INT-EAST-VM-RG,vac20appeoc800,usgovvirginia,Standard_D2s_v3,Linux,Unknown,Billing Only,Mapped,124,,,91.98,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,EOC-DEVTEST-INT-EAST-VM-RG,VAC20APPEOC801,usgovvirginia,Standard_D4lds_v5,Windows,Unknown,Billing Only,Mapped,124,,,303.68,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,EOC-DEVTEST-INT-EAST-VM-RG,vac20dbseoc800,usgovvirginia,Standard_D8s_v3,Linux,Unknown,Billing Only,Mapped,124,,,367.92,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,ITOPSSANDBOX-DEVTEST-INT-EAST-VM-RG,vac20hrwsvr80,usgovvirginia,Standard_A2_v2,Windows,Unknown,Billing Only,Mapped,934,,,106.58,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,ITOPSSANDBOX-DEVTEST-INT-EAST-VM-RG,vac20tstsvr80,usgovvirginia,Standard_D2ds_v4,Windows,Unknown,Billing Only,Mapped,934,,,171.55,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,MAH-DEVTEST-INT-EAST-RG,LINUX-TEST-01,usgovvirginia,Standard_DS1_v2,Linux,Unknown,Billing Only,Mapped,155,,,51.83,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,MCCF-DEVTEST-INT-EAST-VM-RG,vac20apptas611,usgovvirginia,Standard_E4ads_v5,Linux,Unknown,Billing Only,Mapped,99,,,365,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,MCCF-DEVTEST-INT-EAST-VM-RG,vac20apptas612,usgovvirginia,Standard_E4ads_v5,Linux,Unknown,Billing Only,Mapped,99,,,365,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,MCCF-DEVTEST-INT-EAST-VM-RG,vac20apptas811,usgovvirginia,Standard_E4as_v5,Linux,Unknown,Billing Only,Mapped,99,,,198.56,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,MCCF-DEVTEST-INT-EAST-VM-RG,vac20apptas812,usgovvirginia,Standard_E4as_v5,Linux,Unknown,Billing Only,Mapped,99,,,198.56,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,MCCF-DEVTEST-INT-EAST-VM-RG,vac20webtas610,usgovvirginia,Standard_E4ads_v5,Linux,Unknown,Billing Only,Mapped,99,,,365,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,MCCF-DEVTEST-INT-EAST-VM-RG,vac20webtas810,usgovvirginia,Standard_E4as_v5,Linux,Unknown,Billing Only,Mapped,99,,,198.56,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,MCCF-DEVTEST-INT-EAST-VM-RG,vac20webtas915,usgovvirginia,Standard_E4ads_v5,Linux,Unknown,Billing Only,Mapped,99,,,365,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,VAEC-DEVTEST-INT-EAST-RG,VAC20APPECS820,usgovvirginia,Standard_D8s_v4,Windows,Unknown,Billing Only,Mapped,565,,,621.96,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,VAEC-DEVTEST-INT-EAST-RG,VAC20APPECS822,usgovvirginia,Standard_D8s_v5,Windows,Unknown,Billing Only,Mapped,565,,,621.96,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,VAEC-DEVTEST-INT-EAST-RG,VAC20APPECS823,usgovvirginia,Standard_D8s_v4,Windows,Unknown,Billing Only,Mapped,565,,,621.96,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,VAEC-DEVTEST-INT-EAST-RG,VAC20SECECS800,usgovvirginia,Standard_D4s_v5,Windows,Unknown,Billing Only,Mapped,565,,,310.98,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,ANR-DEVTEST-INT-SOUTH-DEVTEST-RG,VAC21DBSANR805,usgovtexas,Standard_D2as_v5,Windows,Unknown,Billing Only,Mapped,512,,,146,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,ANR-DEVTEST-INT-SOUTH-DEVTEST-RG,VAC21FPCANR807,usgovtexas,Standard_D2as_v5,Windows,Unknown,Billing Only,Mapped,512,,,146,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,ANR-DEVTEST-INT-SOUTH-DEVTEST-RG,VAC21WEBANR806,usgovtexas,Standard_D2as_v5,Windows,Unknown,Billing Only,Mapped,512,,,146,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRAPIV01,usgovtexas,Standard_A4_v2,Windows,Unknown,Billing Only,Mapped,97,,,213.16,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRAPIV02,usgovtexas,Standard_A4_v2,Windows,Unknown,Billing Only,Mapped,97,,,213.16,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRDCV01,usgovtexas,Standard_A2_v2,Windows,Unknown,Billing Only,Mapped,97,,,106.58,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRSOAV01,usgovtexas,Standard_A2_v2,Windows,Unknown,Billing Only,Mapped,97,,,106.58,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRSOAV02,usgovtexas,Standard_A2_v2,Windows,Unknown,Billing Only,Mapped,97,,,106.58,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRSQLV01,usgovtexas,Standard_A4_v2,Windows,Unknown,Billing Only,Mapped,97,,,213.16,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRSQLV02,usgovtexas,Standard_A4_v2,Windows,Unknown,Billing Only,Mapped,97,,,213.16,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRWEBV01,usgovtexas,Standard_A2_v2,Windows,Unknown,Billing Only,Mapped,97,,,106.58,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,CARIBOU-DEVTEST-INT-SOUTH-DEVTEST-RG,DEVAZRWEBV02,usgovtexas,Standard_A2_v2,Windows,Unknown,Billing Only,Mapped,97,,,106.58,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,COMS-DEVTEST-SANDBOX-INT-SOUTH-RG,vac21ecstst808,usgovtexas,Standard_B4as_v2,Linux,Unknown,Billing Only,Mapped,565,,,150.38,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,COMS-DEVTEST-SANDBOX-INT-SOUTH-RG,vac21tstecs800,usgovtexas,Standard_B4as_v2,Linux,Unknown,Billing Only,Mapped,565,,,150.38,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,COMS-DEVTEST-SANDBOX-INT-SOUTH-RG,vac21tstecs841,usgovtexas,Standard_D2as_v5,Windows,Unknown,Billing Only,Mapped,565,,,146,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,COMS-DEVTEST-SANDBOX-INT-SOUTH-RG,VAC21TSTECS852,usgovtexas,Standard_D2as_v5,Windows,Unknown,Billing Only,Mapped,565,,,146,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,COMS-DEVTEST-SANDBOX-INT-SOUTH-RG,vac21tstecs890,usgovtexas,Standard_D2as_v5,Linux,Unknown,Billing Only,Mapped,565,,,146,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,COMS-DEVTEST-SANDBOX-INT-SOUTH-RG,vac21tstecs892,usgovtexas,Standard_D2as_v5,Linux,Unknown,Billing Only,Mapped,565,,,146,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,EPRS-DEVTEST-INT-SOUTH-DEVTEST-RG,VAC21APPEPR818,usgovtexas,Standard_DS3_v2,Windows,Unknown,Billing Only,Mapped,164,,,427.05,,
DEVTEST-GOV-INTERNAL,96f889ee-3654-4f61-b369-5f93574edc37,EPRS-DEVTEST-INT-SOUTH-DEVTEST-RG,VAC21APPEPR819,usgovtexas,Standard_DS3_v2,Windows,Unknown,Billing Only,Mapped,164,,,427.05,,
