"ResourceGroup","PublicIPName","IPAddress","AllocationMethod","Sku","FQDN","AssociatedResource"
"CORE-INT-EAST-NETWORK-RG","GOV-CORE-EAST-AF01-PIP0","20.140.177.63","Static","Standard",,"None"
"CORE-INT-EAST-NETWORK-RG","GOV-CORE-EAST-AF01-PIP1","20.140.176.230","Static","Standard",,"None"
"CORE-INT-EAST-NETWORK-RG","GOV-CORE-EAST-AF01-PIP2","62.10.12.58","Static","Standard",,"None"
"CORE-INT-EAST-NETWORK-RG","GOV-CORE-EAST-AF01-PIP3","20.140.193.238","Static","Standard",,"None"
"CORE-INT-EAST-NETWORK-RG","GOV-CORE-EAST-AF01-PIP4","62.10.12.183","Static","Standard",,"None"
"CORE-INT-EAST-NETWORK-RG","GOV-CORE-EAST-AF01-PIP5","62.11.112.63","Static","Standard",,"None"
"CORE-INT-EAST-NETWORK-RG","GOV-CORE-EAST-VPN-Gateway-PIP","Not Assigned","Dynamic","Basic",,"None"
"CORE-INT-EAST-NETWORK-RG","GOV-CORE-EAST-VPN-Gateway-PIP1","Not Assigned","Dynamic","Basic",,"None"
"GOV-CORE-SOUTH-NETWORK-RG","GOV-CORE-SOUTH-AF01-PIP0","52.243.148.82","Static","Standard",,"None"
"GOV-CORE-SOUTH-NETWORK-RG","GOV-CORE-SOUTH-AF01-PIP1","52.243.148.71","Static","Standard",,"None"
"GOV-CORE-SOUTH-NETWORK-RG","GOV-CORE-SOUTH-AF01-PIP2","52.245.181.216","Static","Standard",,"None"
"GOV-CORE-SOUTH-NETWORK-RG","GOV-CORE-SOUTH-AF01-PIP3","52.245.183.28","Static","Standard",,"None"
"GOV-CORE-SOUTH-NETWORK-RG","GOV-CORE-SOUTH-AF01-PIP4","52.243.230.224","Static","Standard",,"None"
"GOV-CORE-SOUTH-NETWORK-RG","GOV-CORE-SOUTH-AF01-PIP5","52.245.176.239","Static","Standard",,"None"
"GOV-CORE-SOUTH-NETWORK-RG","GOV-CORE-SOUTH-VPN-Gateway-PIP","Not Assigned","Dynamic","Basic",,"None"
"GOV-CORE-SOUTH-NETWORK-RG","GOV-CORE-SOUTH-VPN-Gateway-PIP1","Not Assigned","Dynamic","Basic",,"None"
"GOV-CORE-SOUTHWEST-NETWORK-RG","GOV-CORE-SOUTHWEST-AF01-PIP0","52.244.104.85","Static","Standard",,"None"
"GOV-CORE-SOUTHWEST-NETWORK-RG","GOV-CORE-SOUTHWEST-AF01-PIP1","52.244.106.62","Static","Standard",,"None"
"GOV-CORE-SOUTHWEST-NETWORK-RG","GOV-CORE-SOUTHWEST-AF01-PIP2","62.11.157.187","Static","Standard",,"None"
"GOV-CORE-SOUTHWEST-NETWORK-RG","GOV-CORE-SOUTHWEST-AF01-PIP3","62.11.155.87","Static","Standard",,"None"
"GOV-CORE-SOUTHWEST-NETWORK-RG","GOV-CORE-SOUTHWEST-AF01-PIP4","62.11.153.23","Static","Standard",,"None"
"GOV-CORE-SOUTHWEST-NETWORK-RG","GOV-CORE-SOUTHWEST-AF01-PIP5","62.11.133.245","Static","Standard",,"None"
"GOV-CORE-SOUTHWEST-NETWORK-RG","GOV-CORE-SOUTHWEST-VPN-Gateway-PIP","Not Assigned","Dynamic","Basic",,"None"
"GOV-CORE-SOUTHWEST-NETWORK-RG","GOV-CORE-SOUTHWEST-VPN-Gateway-PIP1","Not Assigned","Dynamic","Basic",,"None"
